url,Beds,Baths,Square FT,Pricing,Address
https://rentals.ca/nepean/41-woodridge-crescent-3,2 ,1 ,812 ,$1995,"41 Woodridge Crescent - Ottawa, ON"
https://rentals.ca/nepean/15-woodridge-crescent,1 - 2 ,1 ,535 - 726 ,$1747 - $1925,"15 Woodridge Crescent - Ottawa, ON"
https://rentals.ca/ottawa/190-lees-avenue,1 - 2 ,1 ,692 - 993 ,$1744 - $2446,"190 Lees Ave - Ottawa, ON"
https://rentals.ca/ottawa/2920-fairlea-crescent-2,1 - 2 ,1 ,556 - 728 ,$1499 - $1775,"2920 Fairlea Cresc - Ottawa, ON"
https://rentals.ca/ottawa/1975-st-laurent,1 - 2 ,1 ,519 - 786 ,$1547 - $1863,"1975 ST. LAURENT BLVD - Ottawa, ON"
https://rentals.ca/ottawa/285-loretta-the-dowsview,2 ,1 ,N/A,$2300,"285 Loretta Ave S - Ottawa, ON"
https://rentals.ca/ottawa/964-smyth-st,0 - 2 ,1 - 2 ,687 - 1089 ,$1950 - $3025,"964 Smyth Rd - Ottawa, ON"
https://rentals.ca/ottawa/280-o-connor-st,1 - 2 ,1 - 2 ,450 - 1199 ,$1910 - $3150,"280 O'Connor St - Ottawa, ON"
https://rentals.ca/ottawa/1071-ambleside-drive,0 - 2 ,1 ,350 - 800 ,$1169 - $1819,"1071 Ambleside Drive - Ottawa, ON"
https://rentals.ca/ottawa/360-croydon-avenue,2 ,1 ,1070 ,$1999,"360 Croydon Avenue - Ottawa, ON"
https://rentals.ca/nepean/90-woodridge-crescent-5,1 - 2 ,1 ,646 - 891 ,$1893 - $2093,"90 Woodridge Crescent - Ottawa, ON"
https://rentals.ca/nepean/25-woodridge-crescent-7,0 - 2 ,1 ,489 - 891 ,$1782 - $2331,"25 Woodridge Crescent - Ottawa, ON"
https://rentals.ca/ottawa/2969-fairlea-crescent,0 - 1 ,1 ,357 - 610 ,$1238 - $1510,"2969 Fairlea Crescent - Ottawa, ON"
https://rentals.ca/gloucester/981-gulf-place,2 ,1 ,842 - 1200 ,$1775 - $2500,"981 Gulf Place - Ottawa, ON"
https://rentals.ca/nepean/2940-baseline-road,1 - 2 ,1 - 2 ,N/A,$1880 - $2370,"2944 Baseline Road - Ottawa, ON"
https://rentals.ca/ottawa/221-lyon-street-north,1 - 2 ,1 - 2 ,N/A,$2439 - $2748,"221 Lyon Street North - Ottawa, ON"
https://rentals.ca/ottawa/1000-castle-hill-crescent,1 - 2 ,1 - 1.5 ,N/A,$1715 - $2033,"1000 Castle Hill Crescent - Ottawa, ON"
https://rentals.ca/gloucester/3528-3532-3550-3590-downpatrick-road,1 - 4 ,1 - 1.5 ,562 - 726 ,$1569 - $2464,"3528-3532, 3550 & 3590 Downpatrick Road - Ottawa, ON"
https://rentals.ca/ottawa/160-chapel,0 - 1 ,1 ,390 - 580 ,$1300 - $1800,"160 Chapel Street - Ottawa, ON"
https://rentals.ca/ottawa/1300-richmond-road-1,1 - 2 ,1 ,580 - 809 ,$1730 - $1975,"1300 Richmond Road - Ottawa, ON"
https://rentals.ca/ottawa/2880-2900-carling-avenue,0 - 2 ,1 ,415 - 882 ,$1329 - $1980,"2880-2900 Carling Avenue - Ottawa, ON"
https://rentals.ca/ottawa/10-oblats,1 - 2 ,1 - 2 ,570 - 893 ,$1915 - $2830,"10 Oblats - Ottawa, ON"
https://rentals.ca/ottawa/6-oblats,1 - 2 ,1 ,484 - 991 ,$1930 - $2975,"6 Oblats - Ottawa, ON"
https://rentals.ca/ottawa/165-chapel-street-id646313,0 - 2.5 ,1 - 2 ,502 - 975 ,$1739 - $2699,"165 Chapel Street - Ottawa, ON"
https://rentals.ca/ottawa/192-bronson-ave,0 - 2 ,1 - 2 ,N/A,$1899 - $3850,"192 Bronson Ave. - Ottawa, ON"
https://rentals.ca/ottawa/2181-navaho-drive,1 - 3 ,1 ,550 - 980 ,$1649 - $1999,"2181 Navaho Drive - Ottawa, ON"
https://rentals.ca/ottawa/518-rochester-street-1,1 ,1 ,685 - 862 ,$2060 - $2275,"518 Rochester Street - Ottawa, ON"
https://rentals.ca/ottawa/929-richmond-road-1,1 - 2.5 ,1 ,N/A,$1700 - $3065,"929 Richmond Road - Ottawa, ON"
https://rentals.ca/ottawa/3360-paul-anka-drive,0 - 2 ,1 ,347 - 874 ,$1504 - $1972,"3360 Paul Anka Drive - Ottawa, ON"
https://rentals.ca/ottawa/180-metcalfe-street,0 - 2 ,1 ,404 - 1072 ,$1650 - $3100,"180 Metcalfe Street - Ottawa, ON"
https://rentals.ca/ottawa/avalon-park,0 - 2 ,1 ,447 - 945 ,$1375 - $1919,"2470 Southvale Crescent - Ottawa, ON"
https://rentals.ca/ottawa/21-james-street,1 ,1 ,N/A,$1788,"21 James Street - Ottawa, ON"
https://rentals.ca/ottawa/192-fifth-avenue,4 ,2 ,N/A,$3200,"192 Fifth Avenue - Ottawa, ON"
https://rentals.ca/ottawa/1262-rustic-drive-1c,1 ,1 ,N/A,$725,"1262 Rustic Drive - 2A - Ottawa, ON"
https://rentals.ca/ottawa/122-cobourg-street,2 ,1 ,N/A,$1800,"122 Cobourg Street - Ottawa, ON"
https://rentals.ca/ottawa/16-champagne-avenue-south-id613684,1 - 2 ,1 - 2 ,554 - 850 ,$1700 - $2500,"16 Champagne Avenue South - Ottawa, ON"
https://rentals.ca/ottawa/477-guy-street,2 ,1 ,N/A,$2000,"477 Guy Street - Ottawa, ON"
https://rentals.ca/nepean/hathaway-drive-1,2 ,1 ,N/A,$2005,"Hathaway Drive - Ottawa, ON"
https://rentals.ca/ottawa/310-somerset-east,5 ,2 ,N/A,$4120 - $4250,"310 Somerset Street East - Ottawa, ON"
https://rentals.ca/ottawa/255-frechette-st-vanier-id698048,1 ,1 ,N/A,$1250,"255 Fréchette St Vanier - Ottawa, ON"
https://rentals.ca/ottawa/173-henderson-all-inclusive-fully-furnished,7 ,3 ,N/A,$875,"173 Henderson - Ottawa, ON"
https://rentals.ca/ottawa/928-roger-griffiths-avenue,2 - 3 ,2.5 - 3 ,1450 - 1580 ,$2475 - $2575,"928 Roger Griffiths Avenue - Ottawa, ON"
https://rentals.ca/gloucester/835-871-hennessy-court,2 - 3 ,3 ,1445 - 1585 ,$2475 - $2550,"835-871 Ralph Hennessy Avenue - Ottawa, ON"
https://rentals.ca/ottawa/444-bronson-ave,0 ,1 ,340 ,$1520,"444 Bronson Ave. - Ottawa, ON"
https://rentals.ca/ottawa/britannia-parkside,2 ,1 ,405 - 675 ,$1699 - $1759,"348 Zephyr Avenue - Ottawa, ON"
https://rentals.ca/ottawa/85-melrose-avenue,0 ,1 ,450 ,$1490,"85 Melrose Avenue - Ottawa, ON"
https://rentals.ca/ottawa/watts-house,8 ,3 ,2000 ,$850,"319 Wilbrod - Ottawa, ON"
https://rentals.ca/gloucester/550-langs-road-2,1 ,1 ,N/A,$1649,"550 Lang's Road - Ottawa, ON"
https://rentals.ca/ottawa/33-heney-st,1 ,1 ,480 ,$1490,"33 Heney Street - Ottawa, ON"
https://rentals.ca/ottawa/591-oconnor,0 ,1 ,578 ,$1503,"591 O'Connor - Ottawa, ON"
https://rentals.ca/ottawa/20-28-chapleau-avenue,2 ,1 ,890 ,$1690,"20-28 Chapleau Avenue - Ottawa, ON"
https://rentals.ca/ottawa/58-primrose-avenue,9 ,5 ,N/A,$850,"58 Primrose Avenue - Ottawa, ON"
https://rentals.ca/ottawa/460-nelson-street,4 ,2 ,N/A,$3800,"460 Nelson Street - Ottawa, ON"
https://rentals.ca/ottawa/244-westhaven-crescent,2 ,1 ,N/A,$2000,"244 Westhaven Crescent - Ottawa, ON"
https://rentals.ca/ottawa/69-daly-unit-3,0 ,1 ,350 ,$1100,"5 - 69 Daly Avenue - Ottawa, ON"
https://rentals.ca/ottawa/1-hamilton-avenue-north,1 - 2 ,1 ,N/A,$1850 - $2000,"1 Hamilton Avenue North - Ottawa, ON"
https://rentals.ca/ottawa/1456-heatherington-road,3 ,2 ,1120 ,$2200,"1456 Heatherington Road - Ottawa, ON"
https://rentals.ca/ottawa/hunters-point-townhomes,3 ,1 ,N/A,$2245,"2480-2628 Hunter's Point Crescent - Ottawa, ON"
https://rentals.ca/ottawa/55-talos-circle,2 ,1 ,870 ,$1895,"55 Talos Circle - Ottawa, ON"
https://rentals.ca/ottawa/337-james-unit-3,1 ,1 ,775 ,$1650,"1 - 337 James Street - Ottawa, ON"
https://rentals.ca/ottawa/1-213-glynn-avenue,2 ,1 ,N/A,$1750,"1 - 213 Glynn Avenue - Ottawa, ON"
https://rentals.ca/ottawa/faircrest-townhomes,2 ,1 ,1052 ,$2229,"1811-1847 Frobisher Lane - Ottawa, ON"
https://rentals.ca/ottawa/185-lyon-street-north,0 - 2 ,1 ,N/A,$1776 - $2754,"185 Lyon Street North - Ottawa, ON"
https://rentals.ca/ottawa/619-quebec-street,2 ,1 ,950 ,$1795,"619 Quebec Street - Ottawa, ON"
https://rentals.ca/ottawa/307-ashton-ave,3 ,1.5 ,N/A,$2850,"307 Ashton Ave - Ottawa, ON"
https://rentals.ca/ottawa/280-laurier-avenue-east,0 - 1 ,1 ,315 - 620 ,$1675 - $2650,"280 Laurier Avenue East - Ottawa, ON"
https://rentals.ca/ottawa/86-hinton,0 - 1 ,1 ,270 - 756 ,$1700 - $2400,"86-92 Hinton - Ottawa, ON"
https://rentals.ca/ottawa/87-mann-avenue-1,0 ,1 ,226 ,$1420 - $1550,"87 Mann Avenue - Ottawa, ON"
https://rentals.ca/ottawa/73-blackburn,5 ,2 ,N/A,$4500,"73 Blackburn - Ottawa, ON"
https://rentals.ca/ottawa/296-rue-somerset-street-east,4 ,1.5 ,N/A,$3600,"296 Rue Somerset Street East - Ottawa, ON"
https://rentals.ca/ottawa/19-merton-street,1 ,1 ,457 ,$1600,"19 Merton Street - Ottawa, ON"
https://rentals.ca/ottawa/1330-richmond-road,2 ,1 ,785 ,$1964,"1330 Richmond Road - Ottawa, ON"
https://rentals.ca/ottawa/146-152-osgoode,1 ,1 ,167 ,$1385 - $1400,"150-152 Osgoode Street - Ottawa, ON"
https://rentals.ca/ottawa/177-hopewell-ave,4 ,3 ,1330 ,$4875,"177 Hopewell Avenue - Ottawa, ON"
https://rentals.ca/ottawa/1510-stittsville-main-street,1 ,1 ,750 ,$1850,"1510 Stittsville Main Street - Ottawa, ON"
https://rentals.ca/ottawa/1971-st-laurent,1 - 2 ,1 ,503 - 848 ,$1364 - $1799,"1971 ST. LAURENT BLVD - Ottawa, ON"
https://rentals.ca/ottawa/beaconwood-village-townhomes,3 ,1 ,N/A,$2300,"1998 Beaconwood Drive - Ottawa, ON"
https://rentals.ca/nepean/2780-rowatt-street,2 ,1 ,1000 ,$2089,"2780 Rowatt Street - Ottawa, ON"
https://rentals.ca/ottawa/158b-mcarthur-ave,2 ,1 ,850 ,$1800,"158B McArthur Ave - Ottawa, ON"
https://rentals.ca/ottawa/1425-vanier-pkwy,1 - 2.5 ,1 - 2 ,N/A,$2549 - $3599,"1425 Vanier Parkway - Ottawa, ON"
https://rentals.ca/ottawa/833-richmond-road,2 ,2 ,965 ,$2345,"833 Richmond Road - Ottawa, ON"
https://rentals.ca/ottawa/262-carillon-street,1 ,1 ,N/A,$1500,"262 Carillon Street - Ottawa, ON"
https://rentals.ca/ottawa/574-byron-avenue,2 ,2 ,1048 ,$2950,"574 Byron Avenue - Ottawa, ON"
https://rentals.ca/ottawa/868-maplewood-avenue,3 ,1.5 ,1200 ,$2200,"868 Maplewood Avenue - Ottawa, ON"
https://rentals.ca/ottawa/blake-311-unit-2,2 ,1 ,N/A,$1750,"3 - 311 Blake Boulevard - Ottawa, ON"
https://rentals.ca/ottawa/417-nelson-street,1 - 3 ,1 - 3 ,N/A,$1120 - $1700,"417 Nelson Street - 102A - Ottawa, ON"
https://rentals.ca/ottawa/144-renfrew-ave-id691946,1 ,1 ,509 ,$1450,"144 Renfrew Ave. - Ottawa, ON"
https://rentals.ca/ottawa/530-laurier-avenue-west-id700041,2 ,2 ,1200 ,$2595,"530 Laurier Avenue West - Ottawa, ON"
https://rentals.ca/ottawa/335-mcarthur-ave,1 - 2 ,1 ,500 - 690 ,$1434 - $1464,"335 McArthur Ave. - Ottawa, ON"
https://rentals.ca/ottawa/770-somerset-street-west,0 - 2 ,1 ,N/A,$1520 - $2310,"770 Somerset Street West - Ottawa, ON"
https://rentals.ca/ottawa/322-frank-street,1 ,1 ,N/A,$1600,"322 Frank Street - Ottawa, ON"
https://rentals.ca/ottawa/35-chesapeake-crescent,3 ,2.5 ,N/A,$2200,"35 Chesapeake Crescent - Ottawa, ON"
https://rentals.ca/ottawa/190-glebe-avenue,0 - 4 ,1 ,N/A,$1400 - $3800,"190 Glebe Avenue - Ottawa, ON"
https://rentals.ca/ottawa/112-genest-street,2 ,1 ,N/A,$1900,"112 Genest Street - Ottawa, ON"
https://rentals.ca/ottawa/534-lisgar-street,1 ,1 ,430 ,$1595,"534 Lisgar Street - 7 - Ottawa, ON"
https://rentals.ca/nepean/109-doane-street,1 - 2 ,1 ,N/A,$1550 - $1750,"109 Doane Street - Ottawa, ON"
https://rentals.ca/ottawa/9-western-ave,3.5 ,2 ,N/A,$3250,"9 Western Ave - Ottawa, ON"
https://rentals.ca/ottawa/2653-don-street,3 ,1 ,N/A,$1750,"2653 Don Street - Ottawa, ON"
https://rentals.ca/ottawa/668-putney-cres,3 ,2.5 ,2156 ,$2300,"668 Putney Cres - Ottawa, ON"
https://rentals.ca/ottawa/119-daly-avenue,1 ,1 ,280 ,$995,"119 Daly Avenue - Ottawa, ON"
https://rentals.ca/ottawa/190-montfort-street,1 ,1 ,N/A,$1450,"190 Montfort Street - Ottawa, ON"
https://rentals.ca/ottawa/200-lett-street,1.5 ,1 ,N/A,$1950,"200 Lett Street - Ottawa, ON"
https://rentals.ca/ottawa/89-forward-avenue,0 - 2 ,1 ,475 - 750 ,$1239 - $1749,"89 Forward Avenue - Ottawa, ON"
https://rentals.ca/ottawa/1833-frobisher-lane,0 - 1 ,1 ,464 - 676 ,$1399 - $1619,"1833 Frobisher Lane - Ottawa, ON"
https://rentals.ca/ottawa/2995-albion-road,1 - 2 ,1 ,500 - 750 ,$1459 - $1739,"2995 Albion Road - Ottawa, ON"
https://rentals.ca/ottawa/230240-brittany-drive,1 - 2 ,1 ,554 - 662 ,$1479 - $1659,"230/240 Brittany Drive - Ottawa, ON"
https://rentals.ca/ottawa/18-mcarthur,4 - 5 ,2 ,N/A,$3500 - $4000,"18 Mcarthur - Ottawa, ON"
https://rentals.ca/ottawa/19-robinson-id698848,0 - 1.5 ,1 ,364 - 607 ,$1585 - $2170,"19 Robinson - Ottawa, ON"
https://rentals.ca/ottawa/29-robinson-id698849,2 ,1 - 2 ,667 - 790 ,$2275 - $2430,"29 Robinson - Ottawa, ON"
https://rentals.ca/ottawa/136-osgoode-street,2 - 3 ,1 ,N/A,$1800 - $2700,"136 Osgoode Street - Ottawa, ON"
https://rentals.ca/ottawa/17-aberdeen-street,1 - 2 ,1 ,693 - 1150 ,$1949 - $2799,"17 Aberdeen Street - Ottawa, ON"
https://rentals.ca/ottawa/tillbury-apartments,1 - 2 ,1 ,630 - 960 ,$1390 - $1590,"346-376 Tillbury Avenue - Ottawa, ON"
https://rentals.ca/ottawa/1893-carling-avenue,1 - 2 ,1 ,800 - 900 ,$1290 - $1490,"1893 Carling Avenue - Ottawa, ON"
https://rentals.ca/ottawa/97-fourth-avenue,7 - 8 ,4 ,N/A,$950 - $6650,"97 Fourth Avenue - Ottawa, ON"
https://rentals.ca/ottawa/167-aylmer,4 ,2 ,1100 ,$3400,"167 Alymer Avenue - Ottawa, ON"
https://rentals.ca/ottawa/46-nelson,0 - 1 ,1 ,N/A,$1500 - $1800,"46 Nelson - Ottawa, ON"
https://rentals.ca/ottawa/178-clarence,1 ,1 ,425 ,$1675 - $1700,"178 Clarence - Ottawa, ON"
https://rentals.ca/ottawa/174-clarence,0 - 3 ,1 ,350 - 713 ,$1600 - $2700,"174 Clarence - Ottawa, ON"
https://rentals.ca/ottawa/253-york-street,0 - 2 ,1 ,N/A,$1545 - $2275,"253 - 257 York Street - Ottawa, ON"
https://rentals.ca/nepean/1664-woodroffe,4 ,2.5 ,N/A,$800 - $3400,"1664 Woodroffe - Ottawa, ON"
https://rentals.ca/ottawa/101-115-amaya,4 - 7 ,3 - 3.5 ,N/A,$750 - $800,"101-115 Amaya - Ottawa, ON"
https://rentals.ca/ottawa/75-blackburn-avenue,5 - 7 ,2 - 3 ,N/A,$875 - $5550,"75 Blackburn Avenue - Ottawa, ON"
https://rentals.ca/ottawa/68-sweetland,1 - 2 ,1 - 2 ,N/A,$1425 - $2575,"68 Sweetland - Ottawa, ON"
https://rentals.ca/ottawa/533-chapel,6 ,3 ,N/A,$5600,"533 Chapel - Ottawa, ON"
https://rentals.ca/ottawa/37-robinson,3 ,1 ,N/A,$2600,"37 Robinson - Ottawa, ON"
https://rentals.ca/ottawa/323-besserer,8 ,4 ,N/A,$730,"323 Besserer - Ottawa, ON"
https://rentals.ca/ottawa/179-henderson-avenue,1 ,4.5 ,N/A,$825,"179 Henderson Avenue - Ottawa, ON"
https://rentals.ca/ottawa/142-144-osgoode-street,2 ,1 ,N/A,$1800,"142 Osgoode Street - Ottawa, ON"
https://rentals.ca/ottawa/280-blake-boulevard,3 ,1 ,N/A,$1850,"280 Blake Boulevard - Ottawa, ON"
https://rentals.ca/ottawa/1501-199-slater-street,1 ,1 ,703 ,$2300,"1501-199 Slater Street - Ottawa, ON"
https://rentals.ca/ottawa/3372-uplands-drive,3 ,4 ,N/A,$2650,"3372 Uplands Drive - Ottawa, ON"
https://rentals.ca/gloucester/160-whispering-winds-way,1 - 2 ,1 - 2 ,708 - 803 ,$1700 - $2050,"160 Whispering Winds Way - Ottawa, ON"
https://rentals.ca/ottawa/883-somerset-street-west-id466386,0 ,1 ,400 ,$1300,"883 Somerset Street West - Ottawa, ON"
